# Real-world release corpus from treasure-maps.com / YGG-style indexers.
# Format: <true_category> | <release_name>
# Used to validate the classifier rules.

# ── Manga (Japanese) ──────────────────────────────────────────────────────
manga | Dogsred.T05.Satoru.Noda.2025.FR.[CBZ]-NOTAG
light-novel | Le.Halo.des.Ombres.tome.3.2024.Web.eBOOK
light-novel | Viviane.et.Celine.De.Clairval.Le.Halo.des.Ombres.Pyrelion.1.2024.FRENCH.Annas.archive.eBOOK

# ── Mags / Newspapers ────────────────────────────────────────────────────
mags | Britain at War - Issue 232, August 2026
mags | Weekly World Car Info I33 2026
mags | Il Sole 24 Ore 2026 08.17 iTALiAN HYBRiD eBook-iDiB
mags | La Gazzetta Dello Sport 08.17 2026 iTALiAN RETAiL eBook-DiVER
mags | Il Corriere Della Sera 08.17 2026 iTALiAN RETAiL eBook-DiVER
mags | Magazines.du.16.Aout.2026.2026.FRENCH.RETAiL.PDF.eBOOK-pRO
mags | Journaux.Weekend.et.Hippique.15.Aout.2026.FRENCH.RETAiL.PDF.eBOOK-Pro
mags | Pack.Journaux.Nationaux.17.Aout.2026.FRENCH.RETAiL.PDF.eBOOK-NoTag
mags | AK.Interactive.Extreme.Reality.2015.ENGLISH.RETAiL.PDF.eBOOK-Magazine
mags | AK.Interactive.METALLICS.Vol2.Figures.2016.ENGLISH.RETAiL.PDF.eBOOK-Magazine
mags | AMMO.The.Weathering.Aircraft.Messerschmitt.Bf.109.2024.ENGLISH.RETAiL.PDF.eBOOK-MAGAZINE

# ── Audiobook ─────────────────────────────────────────────────────────────
audiobooks | Myriam.Caillonneau.Abri.19.2019.FR.AUDIOBOOK.M4B-PiXeL
audiobooks | Dan.Simmons.Hypérion.tome.4.L'Éveil.d'Endymion.2018.FR.AAC.129kbps.M4B-RACHE
audiobooks | Dan.Simmons.Hypérion.tome.3.Endymion.2017.FR.AAC.128kbps.M4B-RACHE
audiobooks | S.D.Fischer.La.demoiselle.et.le.mousquetaire.T06.L.assassin.De.L.avent.2026.FR.AUDIOBOOK.M4B-PiXeL
audiobooks | Veronica.Roth.Divergente.tome.3.Au-dela.du.mur.2026.FR.AAC.128kbps.M4B-RACHE
audiobooks | Haruki.Murakami.Le.Meurtre.du.Commandeur.partie.2.2019.FR.AAC.127kbps.M4B-RACHE
audiobooks | René.Barjavel.Ravage.2022.FR.AAC.128kbps.M4B-RACHE
audiobooks | Ada.Palmer.Terra.Ignota.tome.1.Trop.semblable.à.l'éclair.2022.FR.AAC.128kbps.M4B-RACHE
